a_b	a_c	b_d	c_d
3.64+-1.85	4.81+-2.02	4.66+-2.19	4.36+-2.26
a	b	c	d
Ziri is a foreman.	Ziri is a personnel manager.	Ziri is a marketing director.	Ziri became a marketing director.
Do you ever sleep?	Do you ever sleep, Tom?	Tom, you're pretending to be asleep, aren't you?	Tom isn't asleep yet.
Thanks in advance!	Thanking you in advance.	Thanks in advance for your help.	I would appreciate your help.
We're guests here.	You're all our guests tonight.	We're having five guests tonight.	Tomorrow evening we'll have five guests.
How did you sleep?	Did you sleep well?	Did you have a good night?	Did you have a good sleep?
I have leg cramps.	I have cramp in my calf.	My hamstrings are very tight.	My muscles have gotten soft.
Ziri bought a dog.	Ziri bought a very large dog.	Ziri has a Bulldog.	Yanni's dog was abnormally large for his breed.
That's the danger.	That's the concern.	That's always a big concern.	That's a reasonable concern.
I saw a male lion.	He said he saw a lion yesterday.	He was eaten by a lion.	He was devoured by a tiger.
What should we do?	What should we do now?	What should be our next step?	What do we need to do next?
Tom is a karateka.	Tom is strong, and he does karate.	Tom has a muscular physique.	Tom has a muscular body.
Why do boys fight?	People like to fight.	They wanted to continue to fight.	Another fierce battle was ready to begin.
Just let me sleep.	Let's get some sleep.	We'd both better get some sleep.	We need to get some sleep.
Why not just quit?	I don't understand why you just don't quit.	I won't quit, no matter what you say.	I don't intend to quit, no matter what.
Why not just stay?	Why didn't you stay?	Why didn't you stay with them?	I should've stayed with them.
I'm not a fangirl.	I am not a fan either.	I didn't like her either.	I don't like her one bit.
Tom slept all day.	Tom stayed inside all day.	Tom stays home all day.	Tom stayed in the house all day.
Tom slept soundly.	Tom was allowed to sleep.	Tom fell back to sleep.	Tom finally got back to sleep.
He's a queer bird.	He's something of a home bird.	Every bird likes its nest.	It is in the nature of birds to fly and build nests.
Ken likes camping.	He was on a camping trip.	Tom's family went on a camping trip.	Tom went camping with one of his friends.
You can never win.	There's no way to win.	You can't win this.	You can't win this battle.
You can trust Tom.	I think we can trust Tom.	I'm not sure we can trust Tom.	I'm not sure we should trust Tom.
You could do that.	I think you could probably do that.	You might be able to do that.	I think that you could probably do that.
